sample_id,data_name,start,end,predicted_text,target_text
data26_140,data26,885.56,889.76,Vậy là tôi hiểu rồi. Đúng thật là ông già bơi khá giỏi chứ không phải không biết bơi.,Vậy là tôi hiểu rồi đúng thật là ông nhà bơi khá giỏi chứ không phải không biết bơi.
data26_141,data26,891.65,892.66,Ra đây với mình một chút.,Ra đây với mình một chút.
data26_142,data26,895.35,896.46,Chuyện gì vậy Conan.,Có chuyện gì vậy conan?
data26_143,data26,896.76,898.72,Cháu mình coi lại đoạn phim cậu đó quay hồi nãy đi.,Cho mình coi lại đoạn phim cậu đã quay hồi nãy đi.
data26_144,data26,898.86,900.42,"Ờ được, để mình lấy cho cậu.","Ờ được, để mình lấy cho cậu."
data26_145,data26,907.92,912.02,Trong đó có gì quan trọng hả? Hay cậu đã phát hiện ra lúc đó có điều gì bất ổn?,Trong đó có gì quan trọng hả? Hay cậu đã phát hiện ra lúc đó có điều gì bất ổn?
data26_146,data26,917.4,919.28,Tốt lắm. Đoạn phim này có âm thanh.,Tốt lắm. Đoạn phim này có âm thanh.
data26_147,data26,937.33,939.55,Mình có thể phóng to hình ảnh được không?,Mình có thể phóng to hình ảnh được không?
data26_148,data26,939.73,941.85,"Được chứ, đây là máy quay kỹ thuật số mà.",Được chứ. Đây là máy quay kỹ thực số mà.
data26_149,data26,958.44,966.27,Như vậy nghĩa là sao? Khi nhìn thấy chồng mình dùng dãy dưới biển. Và đang kêu cứu liên tục như vậy. Thì cô ấy chờ thêm một lát mới nhảy xuống.,Như vậy nghĩa là sao? Khi nhìn thấy chồng mình dùng dãy giữa biển và đang kêu cứu liên tục như vậy thì cậu ấy chờ thêm một lát mới nhảy xuống để cứu chồng.
data26_150,data26,967.15,969.71,"Mà hơn nữa, trên du thuyền có phao cứu hộ.","Mà hơn nữa, trên du thuyện có phao cứu hộ."
data26_151,data26,1009.17,1015.51,Sẽ đưa cô quay trở lại bệnh viện. Nhờ mọi người mà cảnh sát đã giải quyết xong vụ án. Cảm ơn mọi người rất nhiều.,"Cảnh sát sẽ đưa cô bay trở lại bệnh viện, nhờ mọi người mà cảnh sát đã giải quyết xong vụ án cảm ơn mọi người rất nhiều."
data26_152,data26,1015.71,1018.15,Ngài thanh tra hả?,Vui lòng chờ tôi một lát nghe ngài thanh tra hả?
data26_153,data26,1018.55,1021.19,Không lẽ là ông còn điều gì muốn nói về vụ án nữa.,Không lẽ là ông còn điều gì muốn nói về vụ án nữa hay sao?
data26_154,data26,1021.51,1028.77,"Không, không có. Đây không phải là một vụ tai nạn đuối nước. Mà là một vụ án mạng có sắp đặt cẩn thận từ trước.","Không, không có. Đây không phải là một vụ tai nạn đuối nước mà là một vụ án mạng có sắp đặt cẩn thận từ trước."
data26_155,data26,1032.7,1041.62,Các nhân chứng đều nói đã nhìn thấy ông Takiguchi tự nhảy xuống biển mà đúng như vậy nhưng nếu như ông ấy nhận thức được mình không hề biết bơi thì tôi chắc.,Các nhân chứng đều nói đã nhìn thấy ông Takiguchi tự nhảy xuống biển mà. Đúng như vậy Nhưng nếu như ông ấy nhận thức được mình không hề biết bơi thì tôi chắc chắn.
data26_156,data26,1041.62,1050.42,Không bao giờ dám nhảy xuống biển như vậy đâu Takiguchi nghĩ là mình đã bơi rất thuần thục Nhưng thực tế thì hoàn toàn ngược lại Và ông ta đã bị dụ lên.,Ông ấy không bao giờ dám nhảy xuống biển như vậy đâu Takiguchi nghĩ là mình đã bơi rất thuần thuộc nhưng thực tế thì hoàn toàn ngược lại và ông ta đã bị vụ lên du thuyền.
data26_157,data26,1050.42,1059.56,Một vùng biển mình không quen thuộc Để thể hiện khả năng bơi lội Vậy đây không phải vụ mưu sát có tính toán sao Đúng chứ Cô Takiguchi nào.,Tới một vùng biển mình không quen thuộc để thể hiện khả năng bơi lội vậy đây không phải vụ mưu sát của tính toán sao đúng chứ cô Takiguchi Nao.
data26_158,data26,1060.14,1068.84,Sự thật là chồng của tôi bơi rất thành thạo. Mọi người đã tận mắt nhìn thấy rồi kia mà. Không lẽ ý ông muốn nói. Đoạn phim đó có gì đó không ổn.,Sự thật là chồng của tôi bơi rất thành thạo mọi người đã tận mắt nhìn thấy rồi kìa mà không lẽ ý ông muốn nói đoạn phim đó có gì đó không ổn hay sao chứ.
data26_159,data26,1069.04,1078.1,"Không phải vậy. Đoạn phim đã quay không có gì bất ổn. Đúng là ông Takiguchi biết bơi. Ê, vậy rốt cuộc ông muốn nói điều gì chứ? Sự thật chính là.",Không phải vậy đoạn phim đã quay không có gì bất ổn đúng là ông ta Kiguchi biết bơi ê vậy rốt cuộc ông muốn nói điều gì chứ sự thật chính là.
data26_160,data26,1078.6,1082.39,Ông ấy biết bơi trong hồ bơi nhà mình thôi. Conan ơi giúp bác.,Ông ấy biết bơi trong hồ bơi nhà mình thôi Conan ơi giúp bác.
data26_161,data26,1084.91,1091.15,Cháu chơi mượn cái này chút. Cháu sẽ chỉ cho mọi người thấy sự khác thường. Chú hãy nhìn dòng cổ của cô Nao trong đoạn phim này đi.,Cho cháu mượn cái này chút cháu sẽ chỉ cho mọi người thấy sự khác thường chú hãy nhìn dòng cổ của cô Nao trong đoạn phim này đi.
data26_162,data26,1092.29,1098.81,"Đây nè, chú có thấy nó đang chìm dưới nước không? Nhưng trong đoạn phim quay tuần trước, đây nó lại nổi trên mặt nước.","Đây nè chú có thấy nó đang chìm dưới nước không nhưng trong đoạn phim quay tuần trước đây, nó lại nổi trên mặt nước nè."
data26_163,data26,1099.55,1101.41,"Đợi, đợi một chút.","Ê, đợi, đợi một chút."
data26_164,data26,1104.5,1109.6,Đúng là trong đoạn phim này. Vòng cổ nổ trên mặt nước. Chuyện này là sao.,"Đúng, đúng là trong đoạn phim này dòng cổ nổi trên mặt nước chuyện này là sao chứ?"
data26_165,data26,1109.8,1111.98,Có thể giải thích kỹ càng hơn cho tôi được không?,Ông có thể giải thích kỹ càng hơn cho tôi được không?
data26_166,data26,1114.53,1122.64,Tại sao dòng cổ lại chìm thì chính cô Rô đã cho chúng ta biết câu trả lời rồi miếng kim loại đeo trên dòng cổ của bé Cun Cô Rô này.,Tại sao dòng cổ lại chìm? Thì chính cô Rô đã cho chúng ta biết câu trả lời rồi miếng kim loại đeo trên dòng cổ của bé cuốn cô Rô này.
data26_167,data26,1122.64,1131.52,Bị gỉ một cách rất bất thường vì nó đã bị oxy hóa ở trong nước. Quyên nhân là vì cô Na O đây đã cho vào hồ mơi ở nhà mình một lượng lớn muối.,Đã bị ghỉ một cách rất bất thường vì nó đã bị oxy hóa ở trong nước nguyên nhân là vì cô Na-ô đây đã cho vào hồ mơi ở nhà mình một lượng lớn muối tắm.
data26_168,data26,1131.82,1140.87,Để cơ thể của chồng mình nổi dậy dàng trên mặt nước chiếc dòng cổ làm từ acrylic và trông lượng riêng của nó so với nước là 1.17 tới 1.2.,Để cơ thể của chồng mình nổi dễ dàng trên mặt nước chiếc dòng cổ làm từ acrylic và trong lượng riêng của nó so với nước là 1.17-1.2.
data26_169,data26,1140.97,1150.33,Nên cái dòng cổ bị chìm trong đoạn phim đầu tiên. Nhưng sau khi cô ấy cho thêm muối tắm vào hồ bơi. Tỉ trọng thay đổi cho nên cái dòng cổ nổi lên. Tôi nói như vậy có đúng không?,Nên cây dòng cổ bị chìm trong đoạn phim đầu tiên nhưng sau khi cô ấy cho thêm muối tắm vào hồ mơi tỷ trọng thay đổi cho nên cây dòng cổ nổi lên tôi nói như vậy có đúng không?
data26_170,data26,1152.1,1157.66,Ông nói không đúng. Nếu tôi cho nhiều muối vào hồ như vậy. Thì dù chồng tôi có ngốc tới mấy. Chắc chắn cũng sẽ nhận ra.,Ông nói không đúng nếu tôi cho nhiều muối vào hồ như vậy thì dù chồng tôi có ngốc tới mấy chắc chắn cũng sẽ nhận ra.
data26_171,data26,1157.76,1167.39,Vậy cô đã dùng thứ gì thay cho muối tắm. Vòng cổ cô đeo lúc đầu chìm trong nước. Sau đó lại nổi trên nước cách đây một tuần. Chỉ cần cảnh sát lấy mẫu xét nghiệm nước hồ bơi ở nhà cô.,Vậy cô đã dùng thứ gì thay cho mũi tắm vòng cổ cô đeo lúc đầu chìm trong nước sau đó lại nổi trên nước cách đây một tuần chỉ cần cảnh sát lấy mẫu xét nghiệm nước hồ bơi ở nhà cô.
data26_172,data26,1167.59,1174.19,Là có thể xác định được thành phần cắt chất có trong đó ngay thôi mà chắc là chúng tôi phải ghé nhà cô một chuyến để kiểm chứng chuyện này rồi.,Là có thể xác định được thành phần các chất có trong đó ngay thôi mà chắc là chúng tôi phải ghé nhà cô một chuyến để kiểm chứng chuyện này rồi.
data26_173,data26,1174.66,1179.3,Các ông sẽ không tìm thấy được gì đâu. Bởi vì tôi đã tháo hết nước trong hồ bơi ra từ lâu rồi.,Các ông sẽ không tìm thấy được gì đâu bởi vì tôi đã tháo hết nước trong hồ bơi ra từ lâu rồi.
data26_174,data26,1179.6,1188.26,Cô đừng đánh giá thấp nghiệp vụ của cảnh sát. Họ có thể xác định được cô đã bỏ chất gì vào trong nước chỉ bằng cách phân tích cái thành hồ bơi chứ không cần lấy bộ nước trong hồ.,Cô đừng đánh giá thấp nghiệp vụ của cảnh sát họ có thể xác định được cô đã bỏ chất gì vào trong nước chỉ bằng cách phân tích cái thành hồ bơi chứ không cần lấy mẫu nước trong hồ.
data26_175,data26,1188.45,1189.14,Cái gì chứ?,Cái gì chứ.
data26_176,data26,1189.54,1195.3,"Rè của Nao, những gì ông mới vừa nói có phải là sự thật hay không? Rốt cuộc mọi chuyện là sao?","Nè cô Nao, những gì ông ấy vừa nói có phải là sự thật hay không rốt cuộc mọi chuyện là sao."
data26_177,data26,1201.76,1203.64,Ông ấy đã nói đúng.,Ông ấy đã nói đúng.
data26_178,data26,1205.93,1215.63,Đúng như những gì ông ấy vừa phân tích. Lúc đầu tôi đã cho muối tắm vào hồ bơi. Nhưng sau khi tăng lượng muối lên. Thì chồng tôi nhận ra sự bất thường này ngay. Vì vậy tôi đã thay muối tắm.,Đúng như những gì ông ấy vừa phân tích lúc đầu tôi đã cho muối tắm vào hồ bơi nhưng sau khi tăng lượng muối lên thì chồng tôi nhận ra sự bất thường này ngay vì vậy tôi đã thay muối tắm.
data26_179,data26,1215.63,1222.17,"Speaker 07.: Bằng chất polymer hòa tan trong nước, đây là một hợp chất an toàn, thường được dùng trong thực phẩm và cả trong dược phẩm.","Bằng chất polymer quả tan trong nước đây là một hợp chất an toàn, thường được dùng trong thực phẩm và cả trong dược phẩm cũng vậy."
data26_180,data26,1223.03,1228.71,"Speaker 07. Khi đó tỉ trọng của nước trong hồ vào khoảng 1,3. Và chồng tôi tin là mình đã biết bơi rồi.","Khi đó tỷ trọng của nước trong hồ vào khoảng 1,3 và chồng tôi tin là mình đã biết bơi rồi."
data26_181,data26,1230.01,1234.59,Nếu tị trọng khoảng 130 thì đủ để một người lớn vừa nằm đọc sách vừa nói trên mặt.,"Nếu tỷ trọng khoảng 1,3 thì đủ để một người lớn vừa nằm đọc sách vừa nối trên mặt nước."
data26_182,data26,1236.25,1241.31,Hoàn toàn có thể đánh lừa ông Takiguchi và khiến ông ấy nghĩ là mình đã bơi rất thành thạo.,Hoàn toàn có thể đánh lừa ông Takiguchi và khiến ông ấy nghĩ là mình đã bơi rất thành thạo rồi.
data26_183,data26,1241.72,1248.38,"Có lẽ vào lúc đó, cô đã cố tình quay lại những đoạn phim này để đề phòng trường hợp cảnh sát sẽ điều tra cái chết của chồng.",Có lẽ vào lúc đó cô đã cố tình quay lại những đoạn phim này để đề phòng trường hợp cảnh sát sẽ điều tra cái chết của chồng mình.
data26_184,data26,1249.08,1252.42,Nhưng thật không ngờ chính sự cẩn tận đó lại là bằng chứng tố cáo.,Nhưng thật không ngờ chính sự cẩn thận đó lại là bằng chứng tố cáo cô.
data26_185,data26,1254.92,1260.24,Speaker 07.: Tôi không hề thấy hối hận. Speaker 07.: Người đàn ông đó không hề nghĩ tới một điều gì khác ngoài việc phát triển công ty.,Tôi không hề thấy hối hận người đàn ông đó không hề nghĩ tới một điều gì khác ngoài việc phát triển công ty.
data26_186,data26,1261.46,1269.85,"Để đạt được mục đích, ông ta sẵn sàng dùng mọi thủ đoạn, bất chấp những hậu quả mình đã gây ra, mà không cần biết những việc mình làm khiến bao nhiêu người phải chịu đau khổ.","Để đạt được mục đích, ông ta sẵn sàng dùng mọi thủ đoạn bất chấp những hậu quả mình đã gây ra mà không cần biết những việc mình làm khiến bao nhiêu người phải chịu đau khổ."
data26_187,data26,1270.25,1278.93,Cho nên tôi đã quyết định bắt ông ta phải trả giá cho những việc vô nhân tính đó. Tôi không thể chịu đựng được hơn nữa khi chứng kiến sự vô cảm của ông ta.,Cho nên tôi đã quyết định bắt ông ta phải trả giá cho những việc vô nhân tính đó tôi không thể chịu đựng được hơn nữa khi chứng kiến sự vô cảm của ông ta.
data26_188,data26,1279.33,1285.9,Thật ghê tởm khi sống cùng một mái nhà. Tôi đã chịu đựng quá giới hạn của bản thân mình rồi.,Thật ghê tởm khi sống cùng một mái nhà tôi đã chịu đựng quá giới hạn của bản thân mình rồi.
data26_189,data26,1286.5,1294.13,Có lẽ ông Takiguchi là một người vô cảm và chỉ biết tới tiền mà thôi. Vì mục đích của mình mà ông ta có thể bất chấp mọi thủ đoạn.,Có lẽ ông Takiguchi là một người vô cảm và chỉ biết tới tiền mà thôi vì mục đích của mình mà ông ta có thể bất chấp mọi thủ đoạn.
data26_190,data26,1294.23,1300.67,Nhưng cô không nghĩ một người ra tay giết chồng của mình mà không hề thấy hối hận. Cũng là một kẻ mất khích nhân tính và đám bị trừng trị hay sao.,Nhưng cô không nghĩ một người ra tay giết chồng của mình mà không hề thấy hối hận cũng là một kẻ mất khách nhân tính và đáng bị trừng trị hay sao.
data26_191,data26,1393.5,1397.64,"Sau khi được mời bữa trưa thịnh soạn, mình cũng có ấn tượng rất tốt với cô ấy.",Sau khi được mời bữa trưa thịnh soạn mình cũng có ấn tượng rất tốt với cô ấy
data26_192,data26,1397.7,1400.34,Chuyện này mình không cần tin vào người lớn nữa.,Sao chuyện này mình không cần tin vào người lớn nữa?
data26_193,data26,1400.71,1404.01,Speaker 08? Speaker 08?,"Người lớn luôn có rất nhiều chuyện riêng của họ, họ rất phức tạp."
data26_194,data26,1403.99,1410.63,Cháu nói đúng lắm. Nên bác luôn cố giữ cho mình một tâm hồn trong sáng. Cháu dám cười nhạo sự trong sáng của bác.,"Cháu nói đúng lắm, nên bác luôn cố giữ cho mình một tâm hồn trong sáng. Cháu dám cười nhạo sự trong sáng của bác à."
data26_195,data26,1410.79,1413.31,Mà chúng ta có bên tôi không vậy bác tiến sĩ ơi.,Mà chúng ta có bento không vậy bác tiến sĩ ơi?
data26_196,data26,1413.49,1417.71,Ờ quên ha. Bữa trưa chúng ta được ngồi ăn nên bên tôi chỉ cho ai đụng tới.,"Mà chúng ta có bento không vậy bác tiến sĩ ơi? Ờ quên ha, bữa trưa chúng ta được ngồi ăn nên bento vẫn chưa ai đụng tới."
data26_197,data26,1417.71,1421.91,"Mày quá, cháu muốn ăn lắm. Nhất mới nhớ, tự nhiên mình thấy đói bụng quá.","May quá, cháu muốn ăn lắm. Nhất mến, tự nhiên mình thấy đói bụng quá à."
data26_198,data26,1426.37,1429.71,Cảm giác buồn bã hồi nãy biến đôi rồi. Đúng là trẻ con.,Cảm giác buồn bã nãy đâu đúng là trẻ con mà.
